node1	node2	score	network_id	edge_type
AT3G59060	AT2G18790	1	BIOGRID	PPI
AT2G43010	AT3G59060	1	BIOGRID	PPI
AT3G59060	AT2G43010	1	BIOGRID	PPI
AT1G09570	AT3G59060	1	BIOGRID	PPI
AT2G18790	AT3G59060	1	BIOGRID	PPI
AT3G59060	AT2G18790	1	BIOGRID	PPI
AT2G18790	AT1G09530	1	BIOGRID	PPI
AT2G18790	AT3G59060	1	BIOGRID	PPI
AT1G09570	AT1G09530	1	BIOGRID	PPI
AT4G25560	AT1G02340	1	BIOGRID	PPI
AT1G02340	AT4G25560	1	BIOGRID	PPI
AT1G09570	AT2G18790	1	BIOGRID	PPI
AT1G02340	AT4G25560	1	BIOGRID	PPI
AT4G25560	AT1G02340	1	BIOGRID	PPI
AT1G02340	AT4G25560	1	BIOGRID	PPI
AT2G32950	AT1G02340	1	BIOGRID	PPI
AT4G25560	AT1G02340	1	BIOGRID	PPI
AT2G37680	AT5G02200	1	BIOGRID	PPI
AT2G18790	AT1G10470	1	BIOGRID	PPI
AT1G10470	AT2G18790	1	BIOGRID	PPI
AT1G10470	AT3G21510	1	BIOGRID	PPI
AT3G21510	AT1G10470	1	BIOGRID	PPI
AT2G18790	AT1G04400	1	BIOGRID	PPI
AT2G18790	AT1G04400	1	BIOGRID	PPI
AT1G09530	AT2G18790	1	BIOGRID	PPI
AT1G09530	AT1G09570	1	BIOGRID	PPI
AT2G18790	AT1G09530	1	BIOGRID	PPI
AT1G09530	AT1G02340	1	BIOGRID	PPI
AT1G02340	AT1G09530	1	BIOGRID	PPI
AT1G09530	AT1G09570	1	BIOGRID	PPI
AT1G09530	AT2G18790	1	BIOGRID	PPI
AT1G09570	AT2G18790	1	BIOGRID	PPI
AT1G09570	AT1G14920	1	BIOGRID	PPI
AT2G46370	AT1G28200	1	BIOGRID	PPI
AT2G46370	AT1G28200	1	BIOGRID	PPI
AT2G46370	AT1G28200	1	BIOGRID	PPI
AT1G28200	AT2G46370	1	BIOGRID	PPI
AT1G09570	AT2G37680	1	BIOGRID	PPI
AT1G09570	AT5G02200	1	BIOGRID	PPI
AT1G09570	AT1G09530	1	BIOGRID	PPI
AT5G02200	AT1G09570	1	BIOGRID	PPI
AT1G09570	AT5G02200	1	BIOGRID	PPI
AT1G09570	AT2G37680	1	BIOGRID	PPI
AT2G46340	AT5G15840	1	BIOGRID	PPI
AT4G11110	AT5G15840	1	BIOGRID	PPI
AT3G15354	AT5G15840	1	BIOGRID	PPI
AT1G53090	AT5G15840	1	BIOGRID	PPI
AT2G46340	AT5G15840	1	BIOGRID	PPI
AT1G26945	AT1G02340	1	BIOGRID	PPI
AT1G02340	AT1G26945	1	BIOGRID	PPI
AT4G02440	AT1G20140	1	BIOGRID	PPI
AT4G02440	AT4G34210	1	BIOGRID	PPI
AT4G02440	AT3G60010	1	BIOGRID	PPI
AT4G02440	AT2G03170	1	BIOGRID	PPI
AT4G02570	AT2G25700	1	BIOGRID	PPI
AT4G02570	AT1G20140	1	BIOGRID	PPI
AT4G02570	AT3G21860	1	BIOGRID	PPI
AT4G02570	AT4G34210	1	BIOGRID	PPI
AT4G02570	AT3G60010	1	BIOGRID	PPI
AT4G02570	AT2G03170	1	BIOGRID	PPI
AT4G02570	AT3G25650	1	BIOGRID	PPI
AT4G02570	AT2G03190	1	BIOGRID	PPI
AT4G02570	AT1G10230	1	BIOGRID	PPI
AT4G02570	AT2G03160	1	BIOGRID	PPI
AT4G02570	AT5G42190	1	BIOGRID	PPI
AT4G02440	AT1G20140	1	BIOGRID	PPI
AT4G02440	AT3G21850	1	BIOGRID	PPI
AT4G02440	AT4G34210	1	BIOGRID	PPI
AT4G02440	AT3G60010	1	BIOGRID	PPI
AT4G02440	AT2G03170	1	BIOGRID	PPI
AT4G02440	AT3G25650	1	BIOGRID	PPI
AT4G02440	AT5G42190	1	BIOGRID	PPI
AT1G10940	AT4G02570	1	BIOGRID	PPI
AT4G02440	AT4G02570	1	BIOGRID	PPI
AT2G37680	AT1G09570	1	BIOGRID	PPI
AT1G09570	AT2G37680	1	BIOGRID	PPI
AT3G62980	AT4G02570	1	BIOGRID	PPI
AT2G02560	AT4G02570	1	BIOGRID	PPI
AT5G02200	AT5G02200	1	BIOGRID	PPI
AT2G37680	AT2G37680	1	BIOGRID	PPI
AT2G37680	AT5G02200	1	BIOGRID	PPI
AT1G09530	AT2G18790	1	BIOGRID	PPI
AT2G18790	AT2G02950	1	BIOGRID	PPI
AT1G09570	AT2G02950	1	BIOGRID	PPI
AT1G09570	AT2G02950	1	BIOGRID	PPI
AT2G18790	AT2G02950	1	BIOGRID	PPI
AT1G02340	AT2G46340	1	BIOGRID	PPI
AT1G02340	AT2G46340	1	BIOGRID	PPI
AT2G18790	AT1G09530	1	BIOGRID	PPI
AT1G09530	AT2G18790	1	BIOGRID	PPI
AT1G09530	AT1G09570	1	BIOGRID	PPI
AT1G09530	AT2G18790	1	BIOGRID	PPI
AT2G18790	AT2G18790	1	BIOGRID	PPI
AT2G18790	AT2G18790	1	BIOGRID	PPI
AT2G32950	AT1G02340	1	BIOGRID	PPI
AT2G32950	AT1G02340	1	BIOGRID	PPI
AT2G32950	AT1G02340	1	BIOGRID	PPI
